Date : 2021-11-24 09:35:28
Directory : d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard
Total : 100 files,  4775 codes, 5941 comments, 659 blanks, all 11375 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\values-night\styles.xml                 | XML        |          9 |          9 |          1 |         19 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\main\res\values\styles.xml                       | XML        |          9 |          9 |          1 |         19 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\app\src\profile\AndroidManifest.xml                      | XML        |          4 |          3 |          1 |          8 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\build.gradle                                             | Groovy     |         25 |          0 |          5 |         30 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\gradle.properties                                        | Properties |          3 |          0 |          1 |          4 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\gradle\wrapper\gradle-wrapper.properties                 | Properties |          5 |          1 |          1 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\android\settings.gradle                                          | Groovy     |          8 |          0 |          4 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\AppDelegate.swift                                     | Swift      |         12 |          0 |          2 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json      | JSON       |        122 |          0 |          1 |        123 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json    | JSON       |         23 |          0 |          1 |         24 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md        | Markdown   |          3 |          0 |          2 |          5 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Base.lproj\LaunchScreen.storyboard                    | XML        |         36 |          1 |          1 |         38 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Base.lproj\Main.storyboard                            | XML        |         25 |          1 |          1 |         27 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\ios\Runner\Runner-Bridging-Header.h                              | C++        |          1 |          0 |          1 |          2 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\classes\http\http_service.dart                               | Dart       |         75 |         15 |         13 |        103 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\classes\http\tool.dart                                       | Dart       |          8 |          0 |          1 |          9 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\constants\controllers.dart                                   | Dart       |          4 |          0 |          3 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\constants\style.dart                                         | Dart       |        111 |         18 |         14 |        143 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\controllers\navigation_controller.dart                       | Dart       |         10 |          0 |          4 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\config.dart                                      | Dart       |          4 |          0 |          3 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\manual_operation_data.dart                       | Dart       |         59 |          0 |         17 |         76 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\overview_data.dart                               | Dart       |          6 |          0 |          1 |          7 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\parameters_data.dart                             | Dart       |         71 |          0 |         22 |         93 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\production_model.dart                            | Dart       |          0 |          0 |          1 |          1 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\data_models\states_data.dart                                 | Dart       |         37 |          2 |          7 |         46 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\helpers\local_navigator.dart                                 | Dart       |          9 |          0 |          2 |         11 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\helpers\responsivness.dart                                   | Dart       |         49 |          1 |          9 |         59 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\layout.dart                                                  | Dart       |         25 |          0 |          3 |         28 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\main.dart                                                    | Dart       |         37 |          0 |          4 |         41 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\parameters.dart                             | Dart       |         46 |          0 |          3 |         49 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_large.dart                | Dart       |          9 |          0 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_medium.dart               | Dart       |          9 |          0 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_small.dart                | Dart       |          8 |          0 |          4 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_tree.dart                 | Dart       |        234 |          1 |         13 |        248 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_view.dart                 | Dart       |        140 |          0 |         10 |        150 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\Parameters\widget\parameters_view_tile.dart            | Dart       |         54 |          0 |          4 |         58 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\authentication\authentication.dart                     | Dart       |        145 |          0 |          2 |        147 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\manual_operations.dart               | Dart       |         53 |          0 |          2 |         55 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operation_card.dart    | Dart       |         93 |          0 |          5 |         98 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operation_large.dart   | Dart       |         12 |          0 |          3 |         15 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_grid.dart   | Dart       |         79 |          4 |          8 |         91 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_group.dart  | Dart       |        106 |          4 |          8 |        118 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_medium.dart | Dart       |         11 |          0 |          3 |         14 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\manual_operations_small.dart  | Dart       |         12 |          0 |          3 |         15 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\manual_operations\widget\mechanical_group_icon.dart    | Dart       |        102 |          1 |          4 |        107 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\overview.dart                                 | Dart       |         47 |          0 |          2 |         49 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card.dart                        | Dart       |         48 |         14 |          4 |         66 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\info_card_small.dart                  | Dart       |         44 |          0 |          4 |         48 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_large.dart             | Dart       |        139 |          2 |          9 |        150 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_medium.dart            | Dart       |         68 |          0 |          5 |         73 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\overview\widgets\overview_cards_small.dart             | Dart       |        110 |          2 |          9 |        121 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\settings\settings.dart                                 | Dart       |         29 |          0 |          3 |         32 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\states.dart                                     | Dart       |         46 |          4 |          3 |         53 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_datatable.dart                   | Dart       |        115 |        110 |         21 |        246 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_large.dart                       | Dart       |        169 |         13 |         10 |        192 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_medium.dart                      | Dart       |        144 |         13 |          9 |        166 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\pages\states\widgets\states_small.dart                       | Dart       |         49 |          0 |          3 |         52 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\router.dart                                          | Dart       |         30 |          0 |          9 |         39 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\routing\routes.dart                                          | Dart       |         14 |          0 |          2 |         16 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\autocomplete_textfield.dart                   | Dart       |        399 |          2 |         50 |        451 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_alert_dialog.dart                      | Dart       |         44 |          0 |          9 |         53 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_dropdownmenu.dart                      | Dart       |         49 |          1 |          5 |         55 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\custom_text.dart                              | Dart       |         20 |          0 |          3 |         23 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\default_line_chart.dart                       | Dart       |         39 |          8 |          8 |         55 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\editable_textfield.dart                       | Dart       |         51 |          0 |          5 |         56 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\show_dialog.dart                              | Dart       |          2 |          0 |          2 |          4 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\custom\stepper.dart                                  | Dart       |        110 |          0 |          5 |        115 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\horizontal_menu_item.dart                            | Dart       |         63 |      5,476 |         41 |      5,580 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\large_screen.dart                                    | Dart       |         18 |          0 |          4 |         22 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\menu_controller.dart                                 | Dart       |         51 |          0 |         14 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu.dart                                       | Dart       |         77 |          1 |          5 |         83 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\side_menu_item.dart                                  | Dart       |         24 |          0 |          3 |         27 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\small_screen.dart                                    | Dart       |          9 |          0 |          3 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\large_horizontal_spacer.dart                  | Dart       |          9 |          1 |          2 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\large_vertical_spacer.dart                    | Dart       |          9 |          1 |          2 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\medium_horizontal_spacer.dart                 | Dart       |          9 |          1 |          2 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\spacer\medium_vertical_spacer.dart                   | Dart       |          9 |          1 |          2 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\top_nav.dart                                         | Dart       |         94 |          1 |          3 |         98 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\lib\widgets\vertical_menu_item.dart                              | Dart       |         62 |          0 |          3 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\pubspec.yaml                                                     | YAML       |         31 |         58 |         13 |        102 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\test\widget_test.dart                                            | Dart       |         14 |         10 |          7 |         31 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\index.html                                                   | HTML       |         79 |         17 |          6 |        102 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\web\manifest.json                                                | JSON       |         35 |          0 |          1 |         36 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.cc                   | C++        |          3 |          4 |          5 |         12 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\flutter\generated_plugin_registrant.h                    | C++        |          5 |          5 |          6 |         16 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.cpp                                | C++        |         45 |          4 |         13 |         62 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\flutter_window.h                                  | C++        |         20 |          5 |          9 |         34 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\main.cpp                                          | C++        |         30 |          4 |         10 |         44 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\resource.h                                        | C++        |          9 |          6 |          2 |         17 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.cpp                                         | C++        |         53 |          2 |         10 |         65 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\utils.h                                           | C++        |          8 |          6 |          6 |         20 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.cpp                                  | C++        |        183 |         15 |         48 |        246 |
| d:\Scuola\Stage\MultiPlatformInterface\Interface\Dashboard\windows\runner\win32_window.h                                    | C++        |         48 |         29 |         22 |         99 |
| Total                                                                                                                       |            |      4,775 |      5,941 |        659 |     11,375 |
+-----------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
